number,bookName,author,press,BookID,price,PreferentialPrice
 01 ,Python零基础入门学习-水木书荟,李佳宇,清华大学出版社,12004711,49.50,38.00
 02 ,机器学习【首届京东文学奖-年度新锐入围作品】 ,周志华,清华大学出版社,11867803,88.00,61.60
 03 ,深度学习 ,Ian,人民邮电出版社,12128543,168.00,112.60
 04 ,Python 3.5从零开始学 ,刘宇宙,清华大学出版社,12227940,59.00,46.60
 05 ,终极算法：机器学习和人工智能如何重塑世界,佩德罗·多明戈斯,中信出版社，中信出版集团,12079958,68.00,40.80
 06 ,Java从入门到精通（第4版 附光盘）,明日科技,清华大学出版社,11985075,69.60,47.40
 07 ,数学之美（第二版） ,吴军,人民邮电出版社,11572052,49.00,32.90
 08 ,Python编程快速上手 让繁琐工作自动化,Al Sweigart,人民邮电出版社,11943853,69.00,49.60
 21 ,机器学习实战 ,Peter Harrington,人民邮电出版社,11242112,69.00,54.50
 09 ,浪潮之巅 第三版 套装上下册 ,吴军,人民邮电出版社,11922453,99.00,64.20
 22 ,Spring Cloud微服务实战,翟永超,电子工业出版社,12172344,89.00,70.30
 10 ,C++ Primer Plus（第6版 中文版） ,Stephen Prata,人民邮电出版社,11017238,99.00,69.00
 23 ,鸟哥的Linux私房菜 （基础学习篇 第三版） ,鸟哥,人民邮电出版社,10064429,88.00,69.50
 11 ,Python基础教程（第2版 修订版） ,Magnus Lie Hetland,人民邮电出版社,11461683,79.00,39.50
 24 ,算法导论（原书第3版）/计算机科学丛书,Thomas H.Cormen,机械工业出版社,11144230,128.00,102.40
 12 ,TensorFlow实战,黄文坚,电子工业出版社,12125568,79.00,62.40
 13 ,利用Python进行数据分析,Wes McKinney,机械工业出版社,11352441,89.00,58.70
 25 ,Word Excel PPT 2016办公应用从入门到精通（附光盘）,神龙工作室,人民邮电出版社,11988251,49.00,38.70
 14 ,Python核心编程（第3版） ,Wesley Chun,人民邮电出版社,11936238,99.00,78.20
 26 ,JavaScript高级程序设计（第3版） ,Nicholas C.Zakas,人民邮电出版社,10951037,99.00,69.80
 15 ,Photoshop CS6完全自学教程（中文版 附DVD光盘）,李金明,人民邮电出版社,11020038,99.00,69.80
 41 ,Excel 2016完全自学教程,凤凰高新教育,北京大学出版社,12098139,99.00,64.60
 27 ,算法 第4版 Algorithms Fourth Edition ,Robert Sedgewick,人民邮电出版社,11098789,99.00,78.20
 16 ,TensorFlow：实战Google深度学习框架,才云科技Caicloud,电子工业出版社,12125572,79.00,62.40
 42 ,Java EE互联网轻量级框架整合开发 SSM框架（Spring MVC+Spr ...,杨开振,电子工业出版社,12122571,119.00,83.90
 28 ,O'Reilly：Head First Java（中文版 第2版 涵盖Java5 ...,塞若,中国电力出版社,10100190,79.00,54.50
 17 ,C Primer Plus 第6版 中文版 ,史蒂芬·普拉达,人民邮电出版社,11917487,89.00,70.30
 43 ,Java核心技术 卷I：基础知识（原书第10版） ,凯 S.霍斯特曼,机械工业出版社,12037418,119.00,93.00
